epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,5767.81,0.93815,0.46793,0.95825,0.91548,0.87334,0.90795,0.63442,1.02868,0.46207,0.97766,0.0004754,0.0004754,0.0004754
79,5841.26,0.94241,0.45618,0.9546,0.92152,0.86321,0.90785,0.63315,1.02393,0.46869,0.97825,0.0004556,0.0004556,0.0004556
80,5914.49,0.9319,0.46136,0.95807,0.93089,0.859,0.90789,0.62933,1.02391,0.46419,0.97754,0.0004358,0.0004358,0.0004358
81,5988.08,0.94176,0.45453,0.96585,0.92302,0.86714,0.90642,0.633,1.02897,0.45808,0.98192,0.000416,0.000416,0.000416
82,6061.34,0.95066,0.46249,0.96108,0.93245,0.8574,0.90704,0.63293,1.02432,0.45895,0.97865,0.0003962,0.0003962,0.0003962
83,6134.72,0.93126,0.44764,0.95921,0.92623,0.86271,0.90661,0.63255,1.02333,0.4595,0.97853,0.0003764,0.0003764,0.0003764
84,6207.96,0.922,0.44855,0.95571,0.92819,0.85867,0.90713,0.63444,1.02398,0.45336,0.97988,0.0003566,0.0003566,0.0003566
85,6281.32,0.91507,0.44185,0.94728,0.92048,0.8698,0.90515,0.63046,1.02313,0.45802,0.97828,0.0003368,0.0003368,0.0003368
86,6354.86,0.92331,0.44372,0.95741,0.9254,0.86806,0.91094,0.63111,1.02631,0.45608,0.97759,0.000317,0.000317,0.000317
87,6428.11,0.92803,0.44787,0.95504,0.92761,0.87394,0.9112,0.63254,1.02611,0.45791,0.97717,0.0002972,0.0002972,0.0002972
88,6501.61,0.9264,0.45062,0.955,0.93014,0.86093,0.90887,0.63151,1.02524,0.45697,0.97928,0.0002774,0.0002774,0.0002774
89,6575.04,0.92213,0.4409,0.95515,0.93197,0.86155,0.90846,0.63249,1.02318,0.45316,0.97909,0.0002576,0.0002576,0.0002576
90,6649.11,0.92007,0.4422,0.95025,0.92794,0.86802,0.9108,0.63452,1.02445,0.4549,0.97742,0.0002378,0.0002378,0.0002378
91,6746.99,0.88576,0.40911,0.94366,0.92297,0.86448,0.90603,0.63078,1.02602,0.46409,0.97826,0.000218,0.000218,0.000218
92,6820.38,0.86613,0.39209,0.93579,0.91673,0.86182,0.90699,0.6327,1.02843,0.46502,0.98064,0.0001982,0.0001982,0.0001982
93,6893.26,0.86221,0.38954,0.92716,0.92671,0.85917,0.90754,0.63102,1.02703,0.46422,0.98074,0.0001784,0.0001784,0.0001784
94,6966.49,0.84786,0.38035,0.93066,0.92032,0.86537,0.90726,0.6341,1.02765,0.46727,0.98299,0.0001586,0.0001586,0.0001586
95,7040.19,0.85705,0.37886,0.93285,0.92751,0.86134,0.90779,0.63516,1.02867,0.45967,0.98006,0.0001388,0.0001388,0.0001388
96,7113.53,0.85877,0.38247,0.93129,0.92255,0.86514,0.90829,0.63446,1.0272,0.45658,0.9786,0.000119,0.000119,0.000119
97,7186.94,0.84418,0.37816,0.93045,0.93057,0.86182,0.91105,0.63716,1.02374,0.45699,0.97786,9.92e-05,9.92e-05,9.92e-05
98,7259.93,0.84286,0.3748,0.92629,0.92585,0.86265,0.90849,0.63859,1.02525,0.45712,0.97729,7.94e-05,7.94e-05,7.94e-05
99,7332.62,0.84147,0.3715,0.925,0.92573,0.86448,0.90897,0.63672,1.02608,0.45592,0.97838,5.96e-05,5.96e-05,5.96e-05
100,7405.9,0.84416,0.37415,0.9295,0.91225,0.86557,0.90792,0.63673,1.0256,0.45617,0.97739,3.98e-05,3.98e-05,3.98e-05
